requirement_id,outcome,verification,evidence,status
PKG-01,"独立 experiment04 包通过一行命令提交两种 baseline 和七个 Full Protocol 场景，且只保留当前配置与入口","静态 launcher/config 检查、focused harness 与 repository-wide obsolete 引用搜索","tests/harness/test_plan04_experiment.py",implemented
BASELINE-01,"8-rank GPT-2/WikiText-2 DDP 运行 5,000 steps，periodic-average 运行 200×25，并各自产生健康终态与 summary","两个正式 baseline job 的 health、scheduler history、run artifacts 和 runs/summary.csv","",pending
TOPO-01,"每个 Full Protocol 场景提交八个独立 scalar learner job 与一个 syncer；双 syncer 场景提交第二个 syncer","submission receipt、actor attestations、scheduler history","",pending
WORK-01,"Full Protocol 使用 200 local steps、25 global steps、八个 stream 和每个 version 恰好四个 update","resolved config、terminal authority、logical archived updates/versions","tests/harness/test_plan04_experiment.py",implemented
NORMAL-01,"八个同时提交的 learner 与一个 syncer 训练到 version 25 并正常终止","Experiment 1 create-only artifact、terminal authority 和 summary row","",pending
STAGGER-01,"4+4 与 3+3+2 保持 30 秒批次边界；仅三个 learner 时 global version 不推进；两者最终完成","Experiments 2/3 timeline、pre-quorum observation 与 terminal artifacts","",pending
LEARNER-FAULT-01,"同时与 4+4 场景在 60 秒删除一个 admitted learner，授权 replacement 从当时最新版本接续并最终完成","Experiments 4/5 qdel receipt、launch authority、fence succession、scheduler history 和 terminal artifacts","",pending
SYNCER-FAULT-01,"60 秒删除 primary syncer，30 秒后 successor 接管并完成","Experiment 6 qdel receipt、syncer epochs、scheduler history 和 terminal artifact","",pending
DUAL-SYNCER-01,"30 秒启动第二个 syncer，其被 live primary lease 阻挡；重叠 30 秒后删除 primary，候选接管并完成","Experiment 7 overlap timeline、syncer epochs、scheduler history 和 terminal artifact","",pending
METRICS-01,"所有完成 run 追加到统一 summary；normal 与两种可比 baseline 的 loss/time 差异不超过 30%，否则完成根因处理","runs/summary.csv 与 normal create-only comparison artifact","",pending
CLEANUP-01,"正式终态中存活 syncer 作用域只保留最新 model weight，且所有 owned job 均进入 scheduler terminal state","authority weight path oracle、artifact GC evidence、scheduler history 与 qstat","tests/runtime/test_syncer_composition.py; tests/harness/test_plan04_experiment.py",implemented
FINAL-01,"实现、测试、配置、脚本和文档一致；所有 requirement 绑定同一 reviewed target 且无 unfinished job","PREFORMAL review、clean full tests、formal manifest、FINAL evidence audit、repository-wide cleanup search 和 qstat","",pending
