requirement_id,outcome,verification,evidence,status
P05-R01,"Config exposes stream_pool_size/bootstrap_instances and the run descriptor freezes stream_pool_size/bootstrap_slots; old fields and old run roots are rejected","strict parser and initializer recovery tests; config/descriptor inspection","validation_candidate30.json: focused and full PASS; tests/test_config.py; tests/storage/test_run_initializer.py",pass
P05-R02,"ContributorFence and MembershipScope are the sole protocol types and all embedded wire formats use strict current versions without kind","protocol tests; version assertions; repository-wide dead-surface search","validation_candidate30.json; tests/protocol/test_cycle_receipt.py; tests/protocol/test_proposal.py; final cleanup search",pass
P05-R03,"Authority uses one merged schema and one instance/placement/stream admission model with no static tables, mode metadata, fence_kind, or dynamic-disambiguated API","schema and authority transaction tests; DDL and public-surface inspection","validation_candidate30.json; tests/storage/test_schema.py; tests/architecture/test_authority_surface.py",pass
P05-R04,"Learner and syncer always use admission/current-fence validation; replacement advances stream incarnation and stale ownership is rejected","runtime/admission/terminal/capacity tests; functional takeover; formal authorized replacement","validation_candidate30.json; functional_syncer_takeover_final_288f0c9.json; 20260812_050107_failure_authorized_replacement.json",pass
P05-R05,"Launchers, PBS scripts, analysis, summaries, artifact policy, and Checker expose only neutral full-protocol behavior and bind scheduler evidence to independent replacement","tool and harness tests; PBS bash syntax; final Checker artifacts","validation_candidate30.json; functional_no_failure_final_288f0c9.json; three formal scenario artifacts",pass
P05-R06,"Current configs and experiment04 use the unique protocol with fixed-capacity control and authorized scaling scenario; obsolete config/script copies are absent","config load and harness tests; path and repository search","validation_candidate30.json; configs/experiments/gpt2_wikitext2_8l_200x10_fixed.yaml; do_experiments/experiment04; final cleanup search",pass
P05-R07,"Current README, website, generated API reference, package data, validation index, and module coverage consistently describe only the unique protocol","generation identity gate; website lint/test; repository search","validation_candidate30.json; website/app/reference-data/api-manifest.json; tests/module_coverage.json",pass
P05-R08,"Static checks, focused tests, full suite, and unique-protocol harness pass on one clean candidate","all artifacts bind the exact FINAL_COMMON_TARGET and fingerprint","validation_candidate30.json: 264 focused and 595 full PASS; functional_no_failure_final_288f0c9.json PASS; functional_syncer_takeover_final_288f0c9.json PASS",pass
P05-R09,"PREFORMAL current-state review covers all formal source scopes and closes every blocking finding before expensive runs","coordinator reviews; exact-model external reviewer records and dispositions","preformal-plan-complete-01 coordinator reviews; critical-incremental dispositions; final-evidence-01 coordinator review",pass
P05-R10,"Fresh no-failure, failure/no-replacement, and failure/authorized-replacement experiments satisfy preregistered durable oracles and baseline comparison rules on one target","three create-only PASS artifacts; strict summaries; explicit incomparable result","20260812_050805_no_failure.json; 20260812_045342_failure_no_replacement.json; 20260812_050107_failure_authorized_replacement.json; formal_manifest.json",pass
P05-R11,"The updated GPT-2/WikiText-2 config completes one normal run with 8 independent learner jobs plus 1 syncer job for 200 local x 10 global steps","scheduler history; actor attestations; terminal authority and exact ledger","20260812_050805_no_failure.json: 9 actors on 9 hosts, terminal v10, 40 applied updates, ledger balance 0",pass
P05-R12,"FINAL evidence review proves all requirements on one clean source target, no owned jobs remain, and plan/report are archived without altering historical evidence","formal manifest; final review; qstat record; archive path map and move-only commit","formal_manifest.json; final-evidence-01 coordinator review; archive-path-map.json; final repository status",pass
